#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
0,V150-225,D60-120,-0.015814227983355522,-0.01374238170683384
0,V150-225,DLX60QD,0.05444620922207832,0.03727874532341957
0,V150-225,V75-225,0.01995592936873436,0.003114017192274332
0,V150-225,VLX150QD,0.034955814480781555,0.02717500925064087
0,V150-225,VLX75QD,-0.11177126318216324,-0.09923175722360611
1,VLX75QD,D60-120,0.0808052346110344,0.07478758692741394
1,VLX75QD,DLX60QD,0.12765023112297058,0.09032995998859406
1,VLX75QD,V150-225,0.012108547613024712,-0.007205022033303976
1,VLX75QD,V75-225,-0.011508031748235226,-0.04830668121576309
1,VLX75QD,VLX150QD,0.08240793645381927,0.06225421279668808
2,V75-225,D60-120,0.09278710186481476,0.08550240844488144
2,V75-225,DLX60QD,0.10737644135951996,0.10478773713111877
2,V75-225,V150-225,0.06964018195867538,0.06575515866279602
2,V75-225,VLX150QD,0.05415625125169754,0.05179280787706375
2,V75-225,VLX75QD,-0.07993688434362411,-0.08537566661834717
3,D60-120,DLX60QD,0.2165793925523758,0.21153226494789124
3,D60-120,V150-225,0.11267964541912079,0.11340612173080444
3,D60-120,V75-225,0.05468962341547012,0.03373757004737854
3,D60-120,VLX150QD,0.08110566437244415,0.07413032650947571
3,D60-120,VLX75QD,-0.16180618107318878,-0.16087163984775543
4,V75-225,D60-120,0.006333077792078257,0.004816216882318258
4,V75-225,DLX60QD,0.15548501908779144,0.14836491644382477
4,V75-225,V150-225,-0.028981447219848633,-0.037842705845832825
4,V75-225,VLX150QD,0.05812420696020126,0.060539908707141876
4,V75-225,VLX75QD,-0.06807608902454376,-0.06016647070646286
5,V150-225,D60-120,0.04779108613729477,0.0384928323328495
5,V150-225,DLX60QD,0.17021338641643524,0.16072382032871246
5,V150-225,V75-225,0.13670621812343597,0.12248772382736206
5,V150-225,VLX150QD,0.08096254616975784,0.075828418135643
5,V150-225,VLX75QD,-0.21105393767356873,-0.21210183203220367
6,VLX150QD,D60-120,0.0650080218911171,0.05898727476596832
6,VLX150QD,DLX60QD,0.20709307491779327,0.20449739694595337
6,VLX150QD,V150-225,0.0895233005285263,0.08997443318367004
6,VLX150QD,V75-225,0.17877289652824402,0.17420020699501038
6,VLX150QD,VLX75QD,-0.1894994080066681,-0.189344584941864
7,V150-225,D60-120,0.05578228831291199,0.044617678970098495
7,V150-225,DLX60QD,0.21194934844970703,0.20530350506305695
7,V150-225,V75-225,0.05327780172228813,0.038960520178079605
7,V150-225,VLX150QD,0.09182897955179214,0.07500723004341125
7,V150-225,VLX75QD,-0.17712587118148804,-0.17709407210350037
8,VLX150QD,D60-120,0.08050622045993805,0.07356124371290207
8,VLX150QD,DLX60QD,0.1487840712070465,0.14227154850959778
8,VLX150QD,V150-225,-0.005736056249588728,-0.006871303077787161
8,VLX150QD,V75-225,-0.008944237604737282,-0.008908094838261604
8,VLX150QD,VLX75QD,0.05091152712702751,0.05086227506399155
9,VLX150QD,D60-120,0.024525253102183342,0.03471213951706886
9,VLX150QD,DLX60QD,0.16667687892913818,0.1672687828540802
9,VLX150QD,V150-225,-0.004397152457386255,-0.0009864992462098598
9,VLX150QD,V75-225,0.040172457695007324,0.04275844246149063
9,VLX150QD,VLX75QD,0.03824448585510254,0.05277764052152634
